orig_post_id,post_id,caption,phq8_score,dep_desc,valid,note,mode,factor
73,917,我真的不想活著了 每天一早起來，就覺得自己很差勁 心情很差,13,中度憂鬱,True,ok,W,絕望
74,918,我已經完全失去興趣了 在社交圈中，每次我都感到被排除在外，無法融入，我無法理解為什麼我的朋友都能和別人打成一片，而我則完全喪失了話題，什麼都無法幫助我！到了這個階段，我根本不再覺得自己是可以融入社群的。,4,無憂鬱症狀,True,ok,A,憤怒
74,919,沒有朋友，除了自己。每天晚上，來到公園，看看人們在一起，無所謂的聊天，覺得生活沒有意義,19,中重度憂鬱,True,ok,U,憤怒
74,920,我好像失去了自己的興趣，好像失去了自己。,3,無憂鬱症狀,True,ok,A,焦慮
75,921,今天，我們的行為變得像天氣的陰霧，無法看出明天的陽光。我不想活了，我想要結束一切。為什麼？為什麼我還是能存活著？,20,重度憂鬱,True,ok,U,焦慮
75,922,我最近在學術研究方面感到絕望了？ 每天都在被壓力，我一直都在想：我不是這樣的自己？ 那就是我很差勁？  每天都這樣，罪惡感和絕望都在折磨我,13,中度憂鬱,True,ok,W,學業壓力
75,923,我覺得自己這樣很差勁，每天都覺得自己不夠好，事事都覺得自己犯了錯。 每天早起的那個時間，我都會對自己說：我真的好差勁，我真的很無能。 我覺得生活也沒有太多意義,12,中度憂鬱,False,symptom_not_found,W,財務困難
76,924,今天我想找個安靜的角落，閉上眼睛。,20,重度憂鬱,True,ok,U,過度完美主義
76,925,每天都會有新的壓力，壓力讓我感到如同被無情地摧毀，每天看似順暢的日子，我卻一直感受到無法達到過往的高達峰值，我們這樣的人總會有被人忽視、被忽略，總會覺得自己不夠優秀，自我價值感不足。,18,中重度憂鬱,False,symptom_not_found,U,學業壓力
76,926,我不想面對這個世界 我是被我自己的情緒綁綁住的，連自己都不想看到自己 但我知道我不是一個人，我有朋友、家人在等我,16,中重度憂鬱,True,ok,U,焦慮
77,927,我有想過自殺  因為無法應對壓力 因為財務困難 因為生活無法解決,17,中重度憂鬱,True,ok,U,財務困難
77,928,很自責自己，每天都在為自己的無能為力而感到羞恥。我覺得自己很差勁，沒有付出足夠的努力，所以才會落後。,13,中度憂鬱,True,ok,W,焦慮
77,929,,6,輕度憂鬱,True,ok,A,財務困難
78,930,,21,重度憂鬱,True,ok,U,財務困難
78,931,我從未這樣想過... 工作和社交活動都覺得像在被傘下淋濕的日子...沒有興趣、不再享受...好像連自己自己都不想活了 你知道的那種感覺？,6,輕度憂鬱,True,ok,A,家庭問題
78,932,今天，我們所有都在度過一個令人無法入迷的時光. 我不想活了 每當我想回憶當初的你，我就覺得痛苦,23,重度憂鬱,True,ok,U,失去親人
79,933,,6,輕度憂鬱,False,symptom_not_found,A,失去親人
79,934,我最近一直覺得自己變得很差勁，感受到無法解決的困境。 就好像我自己也對自己都很無關心...,11,中度憂鬱,False,symptom_not_found,W,家庭問題
79,935,我最近失業，已經有幾週了了。這點不但無助於我整體的感受，反而使得我的自我評價變得更加低落。 我開始問自己：我是誰？我是什麼？我是沒有價值的人？ 我不想活了。想自殺。我現在只能在黑暗中呼吸。,19,中重度憂鬱,True,ok,U,失業
80,936,最近，我們發現自己不開心，覺得不想活了，感覺自己像是要消失在世界之中,9,輕度憂鬱,False,symptom_not_found,A,家庭問題
80,938,我最近在為人際關係的問題感嘗到無助感 不管我在試圖為別人做好事，還是為自己做的好事，似乎大家都不想要和我相伴 想結束這些感受會讓我犧牲所有的情感  每天晚上，我會在想，我應該是錯了，我應該是做得不夠好,19,中重度憂鬱,True,ok,U,人際關係問題
81,939,我整天都會有這樣的感覺：不想活了、不想繼續這個循環。 每天都會變得更加黑暗，不知道要走到哪裡 這種絕望感就像一個永遠的暗影，我們身邊幾乎沒有光明。 ,15,中重度憂鬱,True,ok,U,絕望
81,940,,5,輕度憂鬱,False,symptom_not_found,A,失業
81,941,不想活了，沒有工作了。似乎所有的希望都結束了。什麼都很難，不是工作也不是生活。我不能自己做到，需要你們的幫忙。,24,重度憂鬱,True,ok,U,失業
82,942, ,22,重度憂鬱,True,ok,U,憂鬱
82,943,已經沒有興趣的天日過去了，有時我會感到自己整體情緒狀態無法恢復，因為失去喜悅也會失去生活的溫暖 因為我沒有任何意義的工作，也沒有任何想要追求的夢想。整天都在這樣無神的浮浪。,9,輕度憂鬱,True,ok,A,憂鬱
82,944,,24,重度憂鬱,False,symptom_not_found,U,焦慮
83,945,最近在工作中一股子感覺自己是個失敗者...... 我是很自責的，我該有更好的方法來面對壓力，我該是自己的問題而不是別人關注的問題,13,中度憂鬱,True,ok,W,人際關係問題
83,946,我在這片黑暗中呼吸著。這是這段時間的生存模式。 每天我都在想著，我是否應該繼續生存著。 我不想活了，我的心裡感覺就像重罩在下，壓迫著我,16,中重度憂鬱,True,ok,U,絕望
83,947,我們生活在黑暗的時光，不知道是否還能找到光明。我該如何再次開始？不想活了 這是我所在的黑暗世界，希望有人能夠找到我,19,中重度憂鬱,True,ok,U,失業
84,948,我不再享受事物的那種最初的興趣 是因為我已經失去了一些初衷的動力 ,1,無憂鬱症狀,True,ok,A,人際關係問題
84,949,,12,中度憂鬱,False,symptom_not_found,W,家庭問題
84,950,生活似乎是一個永遠未完的、無底線的隧道 ️ 。我真的不想活了，我不想再被困在這裡 。 我有很多內在的呼聲，,24,重度憂鬱,True,ok,U,焦慮

