post_id,original_sentiment,phq8_score,dep_desc,synthetic_sentiment
11,輕度焦慮和輕度自責,20,重度憂鬱,作者對自己的生存和未來充滿著質疑
11,輕度焦慮和輕度自責,19,中重度憂鬱,作者感受到持久的抑鬱感，難以振作起來
12,感到壓力，輕度焦慮,5,輕度憂鬱,作者感受到輕度的憂鬱感
12,感到壓力，輕度焦慮,1,無憂鬱症狀,作者感受到對未來的擔憂
12,感到壓力，輕度焦慮,19,中重度憂鬱,作者感受到身體和情感的無力感，憂鬱的情緒在日常生活中深入侵略
13,強烈的自責和絕望,11,中度憂鬱,這種持續的努力使作者逐漸恢復自信
13,強烈的自責和絕望,1,無憂鬱症狀,作者表現出自信心的增強和成就感
13,強烈的自責和絕望,7,輕度憂鬱,作者正在經歷焦慮和無力感，難以看待未來
15,自信和肯定,5,輕度憂鬱,作者表現出輕度的自我懷疑
15,自信和肯定,6,輕度憂鬱,作者正在處於輕度憂鬱的狀態，感到輕微的沮喪與焦慮
15,自信和肯定,22,重度憂鬱,作者表現出輕度的焦慮
16,輕度焦慮,16,中重度憂鬱,作者表現出輕度的焦慮與不安
16,輕度焦慮,4,無憂鬱症狀,作者的情緒狀態輕微失調
16,輕度焦慮,7,輕度憂鬱,作者表現出輕度憂鬱的感覺
17,中度憂鬱，伴有無助感和自責,7,輕度憂鬱,作者感受到輕度的憂鬱，同時也有一些自我懷疑
17,中度憂鬱，伴有無助感和自責,2,無憂鬱症狀,作者表現出輕度的自信心與積極性
17,中度憂鬱，伴有無助感和自責,22,重度憂鬱,作者感受到無限的漠視、無助感和自責感，情緒感染的深度達到重度
18,強烈的自責、輕度焦慮,2,無憂鬱症狀,作者感受到輕微的壓力感，但缺乏自責感
18,強烈的自責、輕度焦慮,18,中重度憂鬱,作者感受到無力、缺乏意義的感覺，與前次情緒分析相比憂鬱感更加明顯
18,強烈的自責、輕度焦慮,22,重度憂鬱,作者感到無力、無所適從，難以做出任何決定，感到身心疲憊，無法釋放情感
19,中性,17,中重度憂鬱,作者在這一段內容中表現出明顯的焦慮、憂鬱和絕望
19,中性,19,中重度憂鬱,本人感受到無助、迷茫和絕望，生活中每天都感到沉重和無力
19,中性,23,重度憂鬱,作者表現出重度的憂鬱和沮喪
20,輕度焦慮和焦慮感,20,重度憂鬱,作者表現出輕度的焦慮感
20,輕度焦慮和焦慮感,18,中重度憂鬱,作者感受到身體和精神的不適，且心情不佳
20,輕度焦慮和焦慮感,12,中度憂鬱,作者感受到身體不適、疲勞和情緒低落
21,輕度興奮和快樂，符合輕度高興,18,中重度憂鬱,作者表現出輕度的開放心態
21,輕度興奮和快樂，符合輕度高興,10,中度憂鬱,作者表現出輕度的抑鬱感
21,輕度興奮和快樂，符合輕度高興,3,無憂鬱症狀,作者表現出輕度的自信心和成就感
22,持續的絕望、無助感、輕度自責、輕度憂鬱,5,輕度憂鬱,這位作者感受到輕度的絕望與無助感
22,持續的絕望、無助感、輕度自責、輕度憂鬱,7,輕度憂鬱,作者感受到輕度的沮喪感
22,持續的絕望、無助感、輕度自責、輕度憂鬱,19,中重度憂鬱,在面臨挑戰時，感覺無法找到任何力量來推動自己。無助感充斥於心中，似乎什麼都無法改變。對於過去的錯誤或失敗，感到輕微的自責感，讓人難以找到平衡。憂鬱感逐漸上升，影響了日常生活，引起一種中重度憂鬱的感受。
23,輕度不安,6,輕度憂鬱,作者的情緒狀態在逐漸惡化，表現出輕度的抑鬱感
23,輕度不安,1,無憂鬱症狀,作者表現出輕度的焦慮
23,輕度不安,17,中重度憂鬱,作者感受到沉重的痛苦，心情難以振作
24,重度焦慮和自責，有自殘,10,中度憂鬱,作者感受到抑鬱的感覺，但仍維持著對自己和生活的正確的認知
24,重度焦慮和自責，有自殘,21,重度憂鬱,作者表現出重度憂鬱的情緒
24,重度焦慮和自責，有自殘,1,無憂鬱症狀,作者感受到輕微的壓力和困擾
25,中度憂鬱、內耗感,17,中重度憂鬱,作者感受到重度的抑鬱和絕望
25,中度憂鬱、內耗感,11,中度憂鬱,作者表現出明顯的抑鬱和消極心情
25,中度憂鬱、內耗感,22,重度憂鬱,作者在此時感到重度憂鬱，內耗感加劇
26,輕度不安,19,中重度憂鬱,作者表現出持續的痛苦與絕望
26,輕度不安,23,重度憂鬱,作者表現出重度憂鬱的感覺
26,輕度不安,21,重度憂鬱,作者出現重度憂鬱的症狀，表現出嚴重的焦慮、失眠和無力
27,強烈的自責和絕望，符合嚴重的憂鬱,21,重度憂鬱,作者表現出輕度的悲傷與失落
27,強烈的自責和絕望，符合嚴重的憂鬱,22,重度憂鬱,受影響個體感受到無法逃避的黑暗情緒，無法找到解決方法，感到無望的前景
27,強烈的自責和絕望，符合嚴重的憂鬱,18,中重度憂鬱,作者感受到強烈的孤單和無助，難以找到意義
28,輕度焦慮和自責,9,輕度憂鬱,作者感受到自己的行為和決定被動評估，導致輕度憂鬱感
28,輕度焦慮和自責,7,輕度憂鬱,作者表現出輕度憂鬱的感覺
28,輕度焦慮和自責,18,中重度憂鬱,作者感受到身體不適、失去意志、思維混亂
29,輕度興奮,6,輕度憂鬱,作者感受到了一些身心疲勞、無力感，可能會因活動困難而感到沮喪
29,輕度興奮,12,中度憂鬱,作者的情緒在逐漸下降，表現出絕望感和無力感
29,輕度興奮,8,輕度憂鬱,作者在面對挑戰時感到輕度的壓力
30,輕度焦慮,8,輕度憂鬱,作者感受到生活中的不確定性，開始對未來的展望產生疑慮
30,輕度焦慮,10,中度憂鬱,作者表現出憂鬱感、無力感，且逐漸失去對生活的興趣
30,輕度焦慮,5,輕度憂鬱,作者感受到輕度的憂鬱感
31,強烈的自責、輕度焦慮,24,重度憂鬱,作者表現出重度的憂鬱感
31,強烈的自責、輕度焦慮,6,輕度憂鬱,作者感受到自己的過失，並且開始有所懷疑
31,強烈的自責、輕度焦慮,19,中重度憂鬱,作者表現出自責感、焦慮、無力
32,持續的絕望、自責感、無助感，符合中度憂鬱,13,中度憂鬱,該文章呈現出中度的悲傷感和空虚
32,持續的絕望、自責感、無助感，符合中度憂鬱,18,中重度憂鬱,作者感受到無限的痛苦和絕望，無法逃避自己的問題
32,持續的絕望、自責感、無助感，符合中度憂鬱,7,輕度憂鬱,作者感受到輕度的憂鬱，體會到生活中小事的困擾
33,強烈的失望、絕望、難過、生氣,10,中度憂鬱,作者表現出輕度的焦慮與不安
33,強烈的失望、絕望、難過、生氣,20,重度憂鬱,作者表現出中度的沮喪與絕望
33,強烈的失望、絕望、難過、生氣,1,無憂鬱症狀,作者表現出輕度的興奮與積極性
34,持續的絕望和無助感,15,中重度憂鬱,作者表現出強烈的抑鬱感
34,持續的絕望和無助感,9,輕度憂鬱,作者表現出輕度的失望感，感受到無助，努力找到意義
34,持續的絕望和無助感,2,無憂鬱症狀,作者表現出輕度的焦慮與不安，持續感受到進步的可能性
35,強烈的自責、輕度焦慮,19,中重度憂鬱,本文內容表現出強烈的自責感，同時伴有輕度的焦慮和無助感
35,強烈的自責、輕度焦慮,1,無憂鬱症狀,作者表現出強烈的自責和自責感
35,強烈的自責、輕度焦慮,21,重度憂鬱,作者表現出強烈的自責、輕度焦慮
36,強烈的自責和絕望，符合極度憂鬱,2,無憂鬱症狀,作者表現出輕度的悲傷與沮喪
36,強烈的自責和絕望，符合極度憂鬱,17,中重度憂鬱,作者表現出輕度的焦慮與不安
36,強烈的自責和絕望，符合極度憂鬱,23,重度憂鬱,作者表現出輕度的憂鬱，且持續性感到無助
37,憂鬱的感覺是無法控制的，強烈的絕望,2,無憂鬱症狀,作者表現出輕微的自主感損失
37,憂鬱的感覺是無法控制的，強烈的絕望,14,中度憂鬱,她在工作中感受到壓力和焦慮
37,憂鬱的感覺是無法控制的，強烈的絕望,20,重度憂鬱,她在過去一年中感受到的憂鬱情緒，仍然持續到現在
38,輕度焦慮,9,輕度憂鬱,作者感受到輕度的憂鬱和沮喪
38,輕度焦慮,1,無憂鬱症狀,作者感受到輕微的不安感，表現出對未來未知的恐懼
38,輕度焦慮,2,無憂鬱症狀,作者感覺到輕微的壓力感，身心狀態穩定
39,持續的無助感和情緒低落,7,輕度憂鬱,作者感受到了一定的孤立感
39,持續的無助感和情緒低落,10,中度憂鬱,作者感受到無助感，卻仍持續挑戰前行
39,持續的無助感和情緒低落,3,無憂鬱症狀,個體的情緒表現出著對生活中的不確定性和挑戰的擁有意識
40,輕度焦慮,15,中重度憂鬱,作者表現出明顯的憂鬱感與情緒波動
40,輕度焦慮,4,無憂鬱症狀,作者表現出輕度的焦慮，同時有輕微的自我評價困擾
40,輕度焦慮,12,中度憂鬱,作者表現出複雜的焦慮與中度的憂鬱
41,輕度的焦慮和自責,22,重度憂鬱,作者表現出重度的憂鬱感
41,輕度的焦慮和自責,15,中重度憂鬱,作者感受到身體不適、失去興趣和無法 sleeping
41,輕度的焦慮和自責,21,重度憂鬱,作者表現出重度的憂鬱和絕望
42,強烈的自責、持續的絕望、輕度焦慮,12,中度憂鬱,作者表現出輕度的焦慮與不安
42,強烈的自責、持續的絕望、輕度焦慮,2,無憂鬱症狀,作者表現出輕微的疑慮與自我評價的擔憂
42,強烈的自責、持續的絕望、輕度焦慮,13,中度憂鬱,作者感受到輕微的沮喪感，同時也有一些不確定的未來情感
43,強烈的自責和絕望，符合高度憂鬱,17,中重度憂鬱,作者表現出明顯的憂鬱和自責感
43,強烈的自責和絕望，符合高度憂鬱,13,中度憂鬱,作者表現出中度的憂鬱和絕望
43,強烈的自責和絕望，符合高度憂鬱,6,輕度憂鬱,作者感受到了一些壓力感，但仍能保持積極的態度
44,想過自殘，符合高度憂鬱,2,無憂鬱症狀,作者表現出對未來的意見缺失
44,想過自殘，符合高度憂鬱,3,無憂鬱症狀,作者表現出輕度的焦慮與不安
44,想過自殘，符合高度憂鬱,5,輕度憂鬱,作者在這段時間內表現出對生活中小事的過度關注，且逐漸產生輕度的失落感
45,覺得無助，輕度焦慮,11,中度憂鬱,覺得自己處於困境
45,覺得無助，輕度焦慮,9,輕度憂鬱,作者感受到無助感和低落的情緒
45,覺得無助，輕度焦慮,3,無憂鬱症狀,作者感受到自信心的回升，從無助中找到了力量
46,輕度焦慮,24,重度憂鬱,這位個體顯示出明顯的憂鬱情緒
46,輕度焦慮,1,無憂鬱症狀,作者表現出輕度的焦慮和輕度的悲傷
46,輕度焦慮,19,中重度憂鬱,作者表現出憂鬱、絕望和無助的感覺
48,輕度自責和輕度焦慮,22,重度憂鬱,作者表現出重度憂鬱和痛苦
48,輕度自責和輕度焦慮,14,中度憂鬱,作者在面對挑戰時，感受到對自己能力的失望
48,輕度自責和輕度焦慮,2,無憂鬱症狀,作者感受到輕度的自責感和輕度的焦慮
49,強烈的自責和絕望感,13,中度憂鬱,作者表現出強烈的自責和絕望感
49,強烈的自責和絕望感,4,無憂鬱症狀,作者表現出輕微的自信心和成就感
49,強烈的自責和絕望感,6,輕度憂鬱,作者感受到輕度憂鬱的影響
51,輕度焦慮,11,中度憂鬱,作者表現出更為明顯的憂鬱和失望
51,輕度焦慮,5,輕度憂鬱,作者正在經歷輕度憂鬱的感受
51,輕度焦慮,1,無憂鬱症狀,作者表現出輕度的忧慮
52,持續的絕望、自責感和無助感,10,中度憂鬱,作者感受到了一種微妙的不確定感和無助感
52,持續的絕望、自責感和無助感,12,中度憂鬱,這位人物的情緒狀態表現出中度的悲傷
52,持續的絕望、自責感和無助感,21,重度憂鬱,作者感受到積極的自信和成就感
53,強烈的焦慮、恐慌、自責感和無助感,7,輕度憂鬱,作者表現出輕度的焦慮與不安
53,強烈的焦慮、恐慌、自責感和無助感,13,中度憂鬱,作者感受到持續性的沮喪感
53,強烈的焦慮、恐慌、自責感和無助感,6,輕度憂鬱,作者感受到輕度的自我批評和自責感
54,輕度焦慮,3,無憂鬱症狀,作者表現出輕度的自我質疑和懷疑
54,輕度焦慮,1,無憂鬱症狀,作者在這一段內容中呈現出輕度的焦慮感
54,輕度焦慮,17,中重度憂鬱,作者感受到一股沉重的抑鬱感，難以振作，對生活失去信心
55,輕度自責和自我勉勉,14,中度憂鬱,作者在面對日常挑戰時感受到了一定的沮喪和無力感
55,輕度自責和自我勉勉,13,中度憂鬱,作者在內心深處感受到空虛和無望
55,輕度自責和自我勉勉,1,無憂鬱症狀,作者感受到輕微的自我懲罰感
56,輕度焦慮和自責，符合輕度焦慮,14,中度憂鬱,作者感到憂鬱的存在感增加，生活中各項事情都感到重擔
56,輕度焦慮和自責，符合輕度焦慮,1,無憂鬱症狀,作者表現出輕度的自責感
56,輕度焦慮和自責，符合輕度焦慮,5,輕度憂鬱,作者感受到的情緒變化，表現出輕度的憂鬱和絕望
57,輕度焦慮,24,重度憂鬱,作者表現出重度憂鬱的感受
57,輕度焦慮,2,無憂鬱症狀,作者感受到輕度的鬱鬱感
57,輕度焦慮,17,中重度憂鬱,作者表現出明顯的消極思維和無力感
58,強烈的自責、持續的絕望,5,輕度憂鬱,作者表現出輕度憂鬱的情緒
58,強烈的自責、持續的絕望,20,重度憂鬱,作者表現出重度的絕望和絕望感
58,強烈的自責、持續的絕望,24,重度憂鬱,作者表現出中度的悲傷與沮喪
59,中度絕望、自責感,14,中度憂鬱,該作品的語言表達充滿著抑鬱感
59,中度絕望、自責感,10,中度憂鬱,作者感受到的絕望感逐漸減少，自責感逐漸消退，心情轉為希望，開始重新嘗試過去的關係
59,中度絕望、自責感,1,無憂鬱症狀,作者感受到輕微的沮喪感，同時也有著對自己能力的信心
60,強烈的自責和絕望，符合極度憂鬱,18,中重度憂鬱,該作品充滿充滿自信的積極性，表現出強烈的自豪感
60,強烈的自責和絕望，符合極度憂鬱,22,重度憂鬱,作者表現出中度的悲傷和沮喪
60,強烈的自責和絕望，符合極度憂鬱,21,重度憂鬱,作者表現出強烈的自責和絕望
61,輕度焦慮和自信心的喪失,7,輕度憂鬱,作者感受到了一些憂鬱和失望
61,輕度焦慮和自信心的喪失,21,重度憂鬱,作者表現出重度憂鬱的感覺
61,輕度焦慮和自信心的喪失,24,重度憂鬱,作者表現出明顯的憂鬱情緒，伴隨著失望感
62,輕度興奮和積極性,10,中度憂鬱,作者在內心充滿著消極的想法
62,輕度興奮和積極性,19,中重度憂鬱,作者表現出中重度的憂鬱和沮喪
62,輕度興奮和積極性,7,輕度憂鬱,這位角色正在經歷中度的悲傷
63,輕度自責感,16,中重度憂鬱,作者感受到身體不適、無力和無法控制的情緒波動
63,輕度自責感,5,輕度憂鬱,作者表現出輕度的自我關注，但主觀不過去
63,輕度自責感,19,中重度憂鬱,她感到無力無能，無法完成日常的任務
64,強烈的自責、輕度焦慮,21,重度憂鬱,作者感受到強烈的自責感，同時伴有重度的憂鬱
64,強烈的自責、輕度焦慮,16,中重度憂鬱,作者表現出明顯的自責感、憂鬱感
64,強烈的自責、輕度焦慮,8,輕度憂鬱,作者感受到了一些憂鬱的感覺，然而仍然保持著積極的態度
66,輕度焦慮,13,中度憂鬱,作者感受到抑鬱的情緒，日常生活中缺乏動力
66,輕度焦慮,23,重度憂鬱,作者表現出重度的憂鬱感和消極態度
66,輕度焦慮,21,重度憂鬱,作者感受到重度的憂鬱與絕望
67,強烈的自責、輕度焦慮,9,輕度憂鬱,作者感受到過往過失的重擔，展現出一種嘗試自我改善的意願
67,強烈的自責、輕度焦慮,16,中重度憂鬱,難以與他人建立有效的聯繫，感到孤立
67,強烈的自責、輕度焦慮,5,輕度憂鬱,作者表現出對未來的不確定感
68,輕度焦慮和不安，符合輕度焦慮,24,重度憂鬱,作者表現出輕度的焦慮與不安
68,輕度焦慮和不安，符合輕度焦慮,19,中重度憂鬱,作者表現出明顯的憂鬱情緒，難以進行日常生活
68,輕度焦慮和不安，符合輕度焦慮,15,中重度憂鬱,作者表現出中重度的憂鬱，感受無法逆轉的低落情緒
69,情緒複雜，反映出困擾、無助感和難以達到快樂，符合中度焦慮,11,中度憂鬱,作者表現出明顯的憂鬱和沮喪
69,情緒複雜，反映出困擾、無助感和難以達到快樂，符合中度焦慮,13,中度憂鬱,作者感受到無助感和難以達到快樂，表現出明顯的憂鬱情緒
69,情緒複雜，反映出困擾、無助感和難以達到快樂，符合中度焦慮,18,中重度憂鬱,作者表現出重度的憂鬱感和無助感
70,中度憂鬱，伴有焦慮、社交恐懼和絕望感,13,中度憂鬱,作者在處於中度憂鬱的狀態下，逐漸增強對自己未來的絕望感
70,中度憂鬱，伴有焦慮、社交恐懼和絕望感,22,重度憂鬱,作者表現出重度的憂鬱和絕望感，伴隨著持續的焦慮和社交恐懼
70,中度憂鬱，伴有焦慮、社交恐懼和絕望感,15,中重度憂鬱,作者表現出中度的憂鬱、社交恐懼和絕望感
71,輕度焦慮,24,重度憂鬱,作者表現出重度的憂鬱和消極情緒
71,輕度焦慮,17,中重度憂鬱,作者在面對挑戰時，出現了自我意識的增強和情緒波動
71,輕度焦慮,23,重度憂鬱,作者表現出重度憂鬱的感覺，內心感到絕望
72,持續的無助感和情緒低落，伴有自責、厭惡感，符合中度憂鬱,24,重度憂鬱,作者表現出重度憂鬱的感覺，伴隨著自責和厭惡感
72,持續的無助感和情緒低落，伴有自責、厭惡感，符合中度憂鬱,17,中重度憂鬱,作者表現出持續的疲勞感和無力感，伴有自我批評的意識
72,持續的無助感和情緒低落，伴有自責、厭惡感，符合中度憂鬱,2,無憂鬱症狀,作者目前處於平穩的狀態，感覺自信
73,持續的無助感和情緒低落，符合中度憂鬱,24,重度憂鬱,患者表現出重度憂鬱的跡象，伴隨著無助感和絕望感
73,持續的無助感和情緒低落，符合中度憂鬱,4,無憂鬱症狀,作者表現出輕度的孤單感
73,持續的無助感和情緒低落，符合中度憂鬱,13,中度憂鬱,作者表現出中度憂鬱的情緒
74,輕度焦慮和自責感,4,無憂鬱症狀,作者表現出輕度的焦慮
74,輕度焦慮和自責感,19,中重度憂鬱,作者表現出中重度的憂鬱和自責感
74,輕度焦慮和自責感,3,無憂鬱症狀,作者在某些時候感受到輕微的忧郁情绪，但其對於自己的人生和目標的信心仍然相當坚定
75,強烈的絕望和自責，符合極度憂鬱,20,重度憂鬱,在面對未來的不確定，作者感受到無法控制的情緒波動
75,強烈的絕望和自責，符合極度憂鬱,13,中度憂鬱,作者表現出中度憂鬱，感受到絕望與自責
75,強烈的絕望和自責，符合極度憂鬱,12,中度憂鬱,作者表現出中度憂鬱，感到生活中缺乏意義和激情
76,輕度焦慮和自責,20,重度憂鬱,作者感受到重度憂鬱的感受，感到無法克服的痛苦
76,輕度焦慮和自責,18,中重度憂鬱,作者感受到沉重的憂鬱感
76,輕度焦慮和自責,16,中重度憂鬱,作者出現了明顯的憂鬱感和自責意識
77,中度憂鬱，伴隨著強烈的自責和絕望,17,中重度憂鬱,作者面臨著一種持續的、無法控制的黑暗感，感到無法逃避的絕望
77,中度憂鬱，伴隨著強烈的自責和絕望,13,中度憂鬱,作者表現出輕度的焦慮與不安
77,中度憂鬱，伴隨著強烈的自責和絕望,6,輕度憂鬱,作者的情緒狀態逐漸穩定，表現出一些 Optimism
78,強烈的絕望和自責感，符合高度憂鬱,21,重度憂鬱,作者表現出輕度的抑鬱感
78,強烈的絕望和自責感，符合高度憂鬱,6,輕度憂鬱,對於未來的前景感到了一些擔憂
78,強烈的絕望和自責感，符合高度憂鬱,23,重度憂鬱,作者表現出輕度的悲傷
79,輕度興奮,6,輕度憂鬱,作者表現出輕度的焦慮與不安
79,輕度興奮,11,中度憂鬱,作者的自我評價感受受到嚴重影響
79,輕度興奮,19,中重度憂鬱,作者感受到重重的抑鬱和無力感
80,持續的無助感和情緒低落，符合中度憂鬱,15,中重度憂鬱,作者表現出輕度的焦慮
80,持續的無助感和情緒低落，符合中度憂鬱,9,輕度憂鬱,作者感受到輕度憂鬱，表現出對生活的一些困擾
80,持續的無助感和情緒低落，符合中度憂鬱,19,中重度憂鬱,作者表現出中度的憂鬱和無助感
81,輕度焦慮,15,中重度憂鬱,作者表現出憂鬱的想法與情緒
81,輕度焦慮,5,輕度憂鬱,作者表現出明顯的憂鬱情緒和消極情緒
81,輕度焦慮,24,重度憂鬱,作者在這一段時間內出現了重度憂鬱的感覺
82,持續的無助感和情緒低落，表現出中度憂鬱,22,重度憂鬱,作者正在面臨重度憂鬱的困擾，感到無助且沮喪
82,持續的無助感和情緒低落，表現出中度憂鬱,9,輕度憂鬱,作者在日常生活中表現出了一定的困擾感，難以維持積極的精神
82,持續的無助感和情緒低落，表現出中度憂鬱,24,重度憂鬱,作者感受到持續的絕望感，無法找到解決問題的方法
83,輕度感覺到孤立感,13,中度憂鬱,作者感受到身心疲勞，難以關注工作，且開始有想起過去的感傷情緒
83,輕度感覺到孤立感,16,中重度憂鬱,創作者出現了抑鬱和缺乏動力
83,輕度感覺到孤立感,19,中重度憂鬱,作者感受到孤立感，內心空虛
84,輕度焦慮,1,無憂鬱症狀,作者表現出輕微的自我評估壓力和成就感困擾
84,輕度焦慮,12,中度憂鬱,作者表現出明顯的憂鬱情緒，表達出對未來的失望和挫折感
84,輕度焦慮,24,重度憂鬱,作者表現出重度的憂鬱、消極性和失望
85,強烈的自責和絕望感，符合嚴重憂鬱,13,中度憂鬱,作者感受到輕度的自我評價低落
85,強烈的自責和絕望感，符合嚴重憂鬱,12,中度憂鬱,作者在過去的一段時間內表現出自我關注的增加，開始嘗試尋找新的方法來管理自己的情緒
85,強烈的自責和絕望感，符合嚴重憂鬱,15,中重度憂鬱,作者感到孤立且缺乏意義
86,中度絕望感和自責感，表現為寂寞、無目的、無效感,3,無憂鬱症狀,作者表現出輕微的自豪感和成就感
86,中度絕望感和自責感，表現為寂寞、無目的、無效感,17,中重度憂鬱,憂鬱症狀中度明顯，表現為絕望感、自責感，伴隨寂寞、無目的、無效感
86,中度絕望感和自責感，表現為寂寞、無目的、無效感,9,輕度憂鬱,在面對挑戰時，作者感到有能力應對
87,對生活抱持正向想法,13,中度憂鬱,作者表現出中度憂鬱的感覺
87,對生活抱持正向想法,15,中重度憂鬱,這個星期末，我們將會有更多的時間以自己感受和重拾自己
87,對生活抱持正向想法,14,中度憂鬱,作者感受到生活中的困難與挑戰
88,輕度焦慮和輕微的自責,14,中度憂鬱,作者感受到明顯的自責和不確定
88,輕度焦慮和輕微的自責,15,中重度憂鬱,作者感受到無助、悲傷和絕望
88,輕度焦慮和輕微的自責,20,重度憂鬱,作者感受到無法克服的重度憂鬱
89,自責感,7,輕度憂鬱,作者表現出對未來的期望與進步感
89,自責感,23,重度憂鬱,作者感受到無法控制的、持續性的負面情緒，感受到身體和心理上的無力
89,自責感,21,重度憂鬱,作者表現出重度的抑鬱感
90,強烈的絕望、持續的自責感,20,重度憂鬱,作者感受到無力、缺乏動力，難以找到樂趣
90,強烈的絕望、持續的自責感,2,無憂鬱症狀,作者表現出輕度的焦慮與不安
90,強烈的絕望、持續的自責感,24,重度憂鬱,作者表現出輕度的焦慮與不安
91,中度憂鬱、自責感,18,中重度憂鬱,患者表現出持久的悲傷感和失望感，與過去不同，表明憂鬱的嚴重程度已經升高
91,中度憂鬱、自責感,14,中度憂鬱,作者正在經歷持續性的自我質疑和焦慮，表現出意識到自己的情緒困擾，但缺乏能夠有效解決的方法
91,中度憂鬱、自責感,19,中重度憂鬱,作者表現出中度的抑鬱感和自責感
92,輕度自責感,13,中度憂鬱,作者感受到身體不適與生理上的不安，同時也表現出對未來的失落感
92,輕度自責感,7,輕度憂鬱,作者感受到輕微的絕望感，但仍能保持積極的態度
92,輕度自責感,3,無憂鬱症狀,作者表現出輕度的自責感
93,持續的無助感和輕度悲觀,5,輕度憂鬱,作者在經歷困難時，感受到了一定的孤立感
93,持續的無助感和輕度悲觀,14,中度憂鬱,作者感受到身體功能的減退，且缺乏動力
93,持續的無助感和輕度悲觀,8,輕度憂鬱,作者的情緒變得更加複雜，持續感受到焦慮、失望和無力
94,強烈的自責、輕度焦慮,4,無憂鬱症狀,作者感受到自我評價的平衡，同時感到輕度的擔心
94,強烈的自責、輕度焦慮,3,無憂鬱症狀,作者表現出輕微的忧虑與不確定感
94,強烈的自責、輕度焦慮,21,重度憂鬱,作者感受到強烈的痛苦、無力和絕望
95,輕度焦慮和絕望,5,輕度憂鬱,作者感受到輕微的抑鬱感
95,輕度焦慮和絕望,23,重度憂鬱,作者表現出重度憂鬱的感受
95,輕度焦慮和絕望,20,重度憂鬱,作者出現重度憂鬱的症狀
96,輕度焦慮和絕望,13,中度憂鬱,這位作者感受到了一種中度憂鬱的感受
96,輕度焦慮和絕望,16,中重度憂鬱,作者感受到重重的負擔，無法逃避的痛苦
96,輕度焦慮和絕望,20,重度憂鬱,作者感受到身體和心理上的衰竭
