orig_post_id,post_id,caption,phq8_score,dep_desc,valid,note,mode,factor
5,815,今天的日子很難過，對什麼事都不是很有興趣。 我不再像這樣感受自己生活中的美好。 最近我覺得自己缺乏動力，所以不再去做自己喜歡的事了。,輕度憂鬱,False,symptom_not_found,A,憤怒
6,816,沒有意思了，沒有希望。被霸凌的我終究走不出來，無法看起自己，我該怎麼活著才能不被看起來毫無用處。,22,重度憂鬱,False,symptom_not_found,U,被霸凌
6,817,你知道嗎？我很自責，覺得自己根本無法有效應對生活中的挑戰  每天都會覺得自己很差勁，既要是工作、既要是人際關係... 只覺得自己總是錯誤無法改正 我為什麼這樣呢？,11,中度憂鬱,True,ok,W,憤怒
6,818,我們現在的生活在那個「過時」而又「不夠」的地方。就像我們一點也不想去工作，不再享受自己的愛好，也就失去了自己想要做的事 。,9,輕度憂鬱,True,ok,A,財務困難
7,819,雖然我知道自己不是最正確的人  但是在最近的幾天，我開始在心裡面感到...  我完全沒有興趣 ✨ 什麼事情都變得無法讓我高興 😔 什麼事情都跟我無關  什麼事情都沒有興趣  我該怎么做？  #  #   #  #    #    # �,5,輕度憂鬱,True,ok,A,失去親人
7,820,我什麼都不是，什麼都很差勁，不夠勇敢。每天總覺得自己犯錯，總覺得自己不夠善良。我知道，我知道自己很有能力，但是什麼時候我能讓自己相信,10,中度憂鬱,False,symptom_not_found,W,憂鬱
7,821,我知道自己要做什麼，但做不出來 . 每天都這樣，像被困在一種自責的循環中 ️. 過去還是沒有好轉，我現在也不知道會更好 . 可能是因為我過去的錯誤，我現在正面著罪惡感的望遠鏡 . 在這種感受中，我們都很容易放棄自己.,11,中度憂鬱,True,ok,W,憂鬱
8,822,我真的開始對一切都感覺不到什麼喜悅了。  每天都還是跟原来的程式走，實在沒有興趣了。 不過我知道自己還是有可能恢復得來的。,4,無憂鬱症狀,True,ok,A,被霸凌
8,823,今天就像沒有陽光一樣。移民過程，無論如何，我們都難得把來往的時間花在一些什麼事上。 今天沒有興趣，沒有熱情。 😔 這樣子，我們又回去那個未知的世界了？,7,輕度憂鬱,True,ok,A,移民
8,824,這些天來，我們在這個新土地，我們的生活變得一片空白 這個世界似乎過了我的期限 ,19,中重度憂鬱,True,ok,U,移民
9,825,從哪兒來，我也不知道。就像每天一次，走在這個路上，走不出來。,4,無憂鬱症狀,True,ok,A,絕望
9,826,晚上，似乎世界都在睡著，我在這裡醒著  我很無助，無力感，我不知道要開始哪一步 我需要一個朋友 ️‍ ️一個耳朵，讓我把心聲對你說 ️ \#憂鬱 #無助 #心聲 #朋友 #幫助 #耳朵 #心聲對你說,23,重度憂鬱,False,symptom_not_found,U,失去親人
9,827,我在今天醒來後就感覺到自己很差勁。這幾天來，我的每天生活都像是一個被遺棄的城市：毫無方向、毫無意義，失業的打擊似乎讓我的所有自信都跟著走丟。這讓我在這個時候，對自己很自責。,12,中度憂鬱,True,ok,W,失業
10,828,我每天都在被黑暗所圍繞，無法停住自己的想法，總覺得自己在思考什麼都會害怕不良的結果,21,重度憂鬱,False,symptom_not_found,U,移民
10,829,因為一段時間了，我已經什麼事也無意識地忽略了，簡單地說，我這段時間似乎什麼事都無法在腦海中留下印象 😔🤔 這一切似乎在無法找到興趣的途徑時，才會出現什麼事？  不過，我知道，我能夠找到,2,無憂鬱症狀,False,symptom_not_found,A,憂鬱
10,830, ,22,重度憂鬱,False,symptom_not_found,U,失去親人
11,831,你好，朋友們。 我現在整天都感受到絕望的感覺，心中一直在思索：要不要再活著？,24,重度憂鬱,False,symptom_not_found,U,學業壓力
11,832,當我被霸凌時，我發現自己被剝光光的，連夠惡心的也沒有了。 😤 我們被告知，無論哪樣苦恥，我們都應該繼續前進，只是不能說出真心的，因為怕影響評論。,20,重度憂鬱,False,symptom_not_found,U,被霸凌
11,833,不想活了；這種想法像是無法穿過一張門，硬是要面對著無情的生活。 你知道有多少人在面對著相同的情況，卻無法把心情說出來？,19,中重度憂鬱,True,ok,U,失業
12,834,我這麼疲勞了，無法有效地照顧家人，無法讓家人感到安全、溫暖... 我的愛人也在我身旁，但是我們幾乎所有的時候都不能一起享受每日生活。家人開始對我有所懷疑，認為我是不是在消耗自己...我試過想要把這些問題解決,5,輕度憂鬱,False,symptom_not_found,A,家庭問題
12,835,今天，我們都在想著未來的未來了 這間時間裡，我已經完成了我要完成的所有事情 但是，無論我做了多少，我總覺得那還不足夠,1,無憂鬱症狀,False,symptom_not_found,A,過度完美主義
12,836,在黑暗中，我們會遇到自己的憂鬱 那些無法控制的想法 那些無法釋放的感受 那些無法與外界的人交談的孤單 我不想活了,19,中重度憂鬱,True,ok,U,憂鬱
13,837,這段時間來，我們都在努力為自己爭取理想的生活境界，可是有時還是會被忽略、被不信任。 有時我會覺得自己根本沒有能力，無法克服那些無法克服的困難。我自責，我覺得自己很差,11,中度憂鬱,False,symptom_not_found,W,種族歧視
13,838,當你整天都沒有興趣，仍能過著日子，它是你最強的力量 " 我們的支持不是「我想你好」。它是你能繼續努力的理由 我們一直在努力幫你找到新發現的感覺和享受,1,無憂鬱症狀,True,ok,A,人際關係問題
13,839,最近的財務問題讓我無法看待未來，無精氣力就不去工作了，看起來無法逃離。沒有力氣，無法做出任何動作,7,輕度憂鬱,True,ok,A,財務困難
15,840,今天又是這樣一個無聊的日子，我一直都無力完成任務，標準越來越高，但自己卻難以達到那些標準。我不再享受事物，感覺自己只是拖著疲勞的身體和心中一點光芒。,5,輕度憂鬱,True,ok,A,過度完美主義
15,841,這兩天來，我每天早上醒來都沒有興趣，什麼事也不想做，每天都這樣。我一直以為自己是成功的人，但是，最近我正處於一種枯竭狀態，感覺每天都是相同的日子，什麼事都不興趣,6,輕度憂鬱,True,ok,A,過度完美主義
15,842,這個世界已經過了，什麼都無所謂了。 不知道該寫些什麼了，今天就這樣，沒有什麼想法了。 可是在這個沉重的情緒中，我發現了個事實：沒有人來問我為什麼  我開始想，我這個人還會被忽略不見的嗎？什麼都無所謂了,22,重度憂鬱,False,symptom_not_found,U,憤怒
16,843, ,16,中重度憂鬱,False,symptom_not_found,U,失去親人
16,844,當你每天都無所謂地走著，逐步變得像一名無目的的旅行者 當你在夢里想著什麼都無用  當你每天都感覺自己在步入黑夜,4,無憂鬱症狀,True,ok,A,失業
16,845,我最近發現自己不再喜歡做事了。每天看著社會上的所有東西，覺得都不起作用。什麼都有這樣的想法，不知道自己發生了什麼事，感覺像要沉淸在一個黑暗的泡沫中 ️ 這個時候我只知道在黑暗裡慢慢流逝，什麼也不做，盡快過完一天。 ,7,輕度憂鬱,False,symptom_not_found,A,憤怒
17,846,我開始感覺自己和世界都很冷漠 沒有什麼話要說，只是我很灰暗 ,7,輕度憂鬱,True,ok,A,失去親人
17,847,雖然雨天讓我感覺不太好，但我仍然決定要學著好好應對。雖然過去我工作中遇到困難時，總是會感受到一點絕望，但這次我還是選擇了繼續前行。因為失業導致我現在沒有任何工作前景，但我不希望失去對未來的希望。😔 我知道有些人可能會把失業視為是終身失業的,2,無憂鬱症狀,False,symptom_not_found,A,失業
17,848,我整天都在這種濕潤感中掙扎，好像無論如何都無法逃離。 我想，我是一種完美主義者，總是要求自己做得更好。但我不知道自己該怎麼做，該繼續下來還是放棄?,22,重度憂鬱,False,symptom_not_found,U,過度完美主義
18,849,就我而言，一天不如一天了。工作上的我這樣努力，不但無法完成就業考試的課題，也無法完成其餘的任務。 我不再像過去那樣感受到壓力，這裡我感受到的是輕微的壓力。  似乎過度完美主義的我，現在真的無法克服自己的差異。  就我而言，每天都是一場無勝負的戰役，沒有興趣；,2,無憂鬱症狀,True,ok,A,過度完美主義
18,850,我的失落感來自於無力無力地向前，面對無數壓力，我們的身體和心力也在呼喚，我們的身體和心力在呼叫......  我不想活了，,18,中重度憂鬱,True,ok,U,學業壓力
18,851,我根本不知道自己想做什麼了。我整天都被沉重的絕望困擁，不知道什麼能夠讓我從中脫離。😩 #重度憂鬱 #絕望的夜晚 ️,22,重度憂鬱,False,symptom_not_found,U,絕望
19,852,不想活了；每天無法努力地走完學期末的最後一天 😩😩；就像我一步一步地走向了自殺的道路 我不明白為什麼都無法有效地應對生活中的壓力 ,17,中重度憂鬱,True,ok,U,學業壓力
19,853,我從沒想過，我会会感到自己沒什么用處。我住在一个充滿希望的地方，陽光明媚，環境美麗，但我卻覺得自己不值得活着。💔 那些好友们的社交媒体照片，每天都像是一種痛苦。 每天都能看到他們的成功之路，好像他们所有事情都有意義。,19,中重度憂鬱,False,symptom_not_found,U,絕望
19,854,我不想活了，我只想走在這個黑暗中，無法讓自己感受到什麼東西了。整天都像是一場無頭劇，無法從開始做起，也無法做出什麼有效的選擇。,23,重度憂鬱,True,ok,U,學業壓力
20,855,我想我已經已經習慮了，只是無法抵抗。,20,重度憂鬱,True,ok,U,失去親人
20,856, 我是真的，從那天以來，我每天都這樣想：不想活了，想結束一切，完全沒有任何期待或希望，只是想消失。失去親人後，我身體和精神都變得徹底無力，難以應對這種悲慘的生活。每天都會覺得無法承受這種痛苦,18,中重度憂鬱,True,ok,U,失去親人
20,857,這些幾個月來，每天都是這樣的感受：很自責，覺得自己很差勁，罪惡感,12,中度憂鬱,True,ok,W,焦慮
21,858, ,18,中重度憂鬱,False,symptom_not_found,U,被霸凌
21,859,很自責自己從小就一直被家庭和朋友疏遠了，每次想與家人溝通都會感到無法接受的孤立感 很難找到自己想說的話，於是一直無法與家人溝通,10,中度憂鬱,True,ok,W,憂鬱
21,860,所有過往的回憶都似乎已經消失了。雖然這樣有點令人惡心，但我又覺得有些舒適。可能是因為現在我已經不是那個自己了，對了？不管是什麼，我都能看到自己過去的生活不夠美好，無法為我帶來真正的快樂。但我不會因此而自責。我是這樣的，因為我已經走在正確的道路上。,3,無憂鬱症狀,True,ok,A,憤怒
22,861,有時候我會突然不再想要做任何事情 這不僅是由於壓力或工作了，我還有其他原因 似乎無法找到任何的動力或者興趣  這讓我感到絕望 ,5,輕度憂鬱,False,symptom_not_found,A,憤怒
22,862,什麼時候，我真的不能為什麼？現在在工作中面對「無法與同事溝通」和「工作內部的人際關係問題」 …我這些年來，對於工作和社交都沒有熱情了。  這也使我無法享受與家人和朋友的生活  對於那些可以和他人分享喜悅和悲憤的那種,7,輕度憂鬱,False,symptom_not_found,A,人際關係問題
22,863,我是個無用的人，無法推動自己，無法過上好日子。什麼都無法改變。想說，我已經無法忍受這種感受了。,19,中重度憂鬱,False,symptom_not_found,U,學業壓力
23,864, ,6,輕度憂鬱,False,symptom_not_found,A,過度完美主義
23,865,我最近發現自己總是沒有興趣，似乎每天都這樣，不再享受事物，不再開心，不再愛自己。,1,無憂鬱症狀,True,ok,A,人際關係問題
23,866,我們這個世界已經發生太多了…… 我不想活了 。失業、無方向、無力無望 ️我該如何面對自己？ 我們的社會已經變得太差太差,17,中重度憂鬱,True,ok,U,失業
24,867,在社交場合，我們常常被要求表達自我。但我卻感到自責。每當我試圖說明自己的想法和感受時，我都會感到罪惡感。 這不是我在誣議別人的想法，但我確實感到被外界壓力所壓倒。就如同當我在社交場合，看到我的朋友們和家人在聊天和笑嘆，我這裡都會感受到一片黑暗。,10,中度憂鬱,True,ok,W,移民
24,868,這是重鬱的夜晚：我不想活了，一切都終了。人際關係都變成了毒藥，我不能再當受害者了。我想結束一切，無法活下來 ,21,重度憂鬱,True,ok,U,人際關係問題
24,869,每次看那些自信的人，我都覺得無力  這不是一種自尊的感覺，而是一種想被他們超越、被他們取代的無力,1,無憂鬱症狀,False,symptom_not_found,A,憤怒
25,870,失落在無數個黑暗的角落，無法再看見光線，無法再感受到溫暖。當我在黑暗中徘徊時，總是會感受到我自己內部的絕望。 不想活了。  不想在這個痛苦的世界中存在 不想再度被打擊,17,中重度憂鬱,True,ok,U,失去親人
25,871,  ,11,中度憂鬱,False,symptom_not_found,W,被霸凌
25,872,我不知道我該如何過活了。在這個世界上，我只是個無力小白兔。 這裡的一切都都對我來說是一種痛苦 ，無法控制的痛苦。 我不想活了，我不想為這個世界做任何事情。,22,重度憂鬱,True,ok,U,焦慮
26,873,每個單位都跟著我在向前行， 我覺得我跟所有的行走都不一樣， 我想要把所有的步伐都停止，並且就這樣在這裡靜止一點， 我不想再繼續前行， 因為我害怕我會發生什,19,中重度憂鬱,False,symptom_not_found,U,憂鬱
26,874,當我面臨這個黑暗的世界時，我不想活了。,23,重度憂鬱,True,ok,U,憤怒
26,875,不想活了，我每天都感受著無力感、失去動力、什麼都失去信心，我每天都在思考，我該怎麼做，我該怎么過著，我的生命太無力了我覺得無法擺脫這種感受，我已經試過了許多方法，沒有任何效力，我只剩下一種想法——結束一切�,21,重度憂鬱,True,ok,U,財務困難
27,876,今天的夜晚似乎不會結束 ️ 我不知道我是否還是能夠過著正常的生活  一天一天地消失掉，我們的愛、我們的光亮  我不能再保持這個樣子的笑容 我想我只是變得厲害而已  懷抱著我自己了   #憂鬱的,21,重度憂鬱,False,symptom_not_found,U,憂鬱
27,877,不知道天長日短，還是天短日長，總是無法擺脫那份黑暗感,22,重度憂鬱,False,symptom_not_found,U,被霸凌
27,878,我最近的生活像是走在絕望的旅途上，所有的努力，都是無效的。每天我都像是一個重復的模式，無法逃避的人際關係問題，似乎是無法解決的。 我不想活了；我想,18,中重度憂鬱,True,ok,U,人際關係問題
28,879,我今天發現了什麼？我什麼都不想做？ 每天我都在努力想要維持一個「正常」的生活，但事實上，我每天都處於「低落」。我的行為、我的決定，都是被人左右控制，我沒有任何主動性。 😩 我的家庭問題，雖然不能讓人見到，但它的陰影已經與我深深的結合在一起。 😔 我是一個被人觀察的行為，沒有被人所認同，我想,9,輕度憂鬱,False,symptom_not_found,A,家庭問題
28,880,- 這些年月我一直以為自己是優秀的。我現在只是盡力過程中，因為我真的無法把內容提供出來了 😔. 這是因為我實際上沒有什麼內容要給大家 😂. 不過我想說我是因為自己的壓力和失望 . 這種情況下我會感到非常沮喪 . 有時候的確我會失去興趣 ‍,7,輕度憂鬱,True,ok,A,家庭問題
28,881, ,18,中重度憂鬱,False,symptom_not_found,U,絕望
29,882,6月份我移民到了新的城市，過程雖然很累，但現在我已經在過著日常生活的節奏，我每天醒來就不感覺到興趣，活到個位子也不再享受生活。似乎只有在晚上，靠著一杯熱茶，我才會有一些動力。所以我想要問大家，其他人也經歷了這樣的情況嗎？ 🤔 #輕度憂鬱 #移民經歷 #感受到無力 請繼續加上,6,輕度憂鬱,True,ok,A,移民
29,883,每天都是一場完美的試題，我們都被要求完成所有的題目和作業，這種壓力來得無法承受的。是為什麼我卻無法把自己變成完美的那個？每天都感到自責，我們都被告知是自己的錯兒，所以我也不能成功。這種罪惡感與壓力交替發生，無法停止自我批評，我的內心是一塊被打,12,中度憂鬱,True,ok,W,過度完美主義
29,884,無話可說 數字顯示我的「財務狀態」 😩 ... 這些數字的實際含義，我不想和你們分享... 都是我的問題 .,8,輕度憂鬱,True,ok,A,財務困難
30,885,這不是一天，我沒有這樣想過。  什麼都好，誰知道這是什麼？  我不是這樣想，我只是不知道。  #輕度憂鬱 #沒有興趣 #什麼都好啊？ ‍♀️ » ❓  我在,8,輕度憂鬱,True,ok,A,憂鬱
30,886,憂鬱感再次回歸，很自責自己為什麼又不能逃避痛苦呢？罪惡感和無力的感覺充滿了身體，何以無法將憂鬱推開？ 🤕,10,中度憂鬱,True,ok,W,憤怒
30,887,我想我是很幸運的，能夠在家人和朋友面前保持正常的面子。 但在暗處的那一刻，我卻發現只剩自己在那裡 ,5,輕度憂鬱,True,ok,A,憂鬱
31,888,那些人不僅能破壞我身邊的人，我還能夠把它帶到我自己的房間，吞噬我，毀壞我。 這種想法在我的心中如同無法消除的污垢。 每天活在這種痛苦中，日復一日的痛苦,24,重度憂鬱,True,ok,U,種族歧視
31,889,這天再也沒有興趣 不再可以用我最喜歡的書看 是因為我每天都被人霸凌、 被忽略，讓我喪失了自我 我什麼時候可以恢復自我呢？,6,輕度憂鬱,True,ok,A,被霸凌
31,890,每天我都要面對許多不公平的事 不想要待在這個黑人人家的我 想結束一切,19,中重度憂鬱,True,ok,U,種族歧視
