post_id,original_post,sentiment
10,"因為借宿於朋友家，意外結識了幾個溫柔、善良、有智慧的美好人兒。
有一天晚上，我跟小雲聊到凌晨，其中好幾次，我都感覺想哭。

「你好辛苦喔。」當我說我學不會放過自己，他真摯的看著我這麼說。
「因為我覺得自己不值得存在，所以要拚命努力，拚命去證明自己值得被愛。我不敢懈怠，我怕我變成不要臉而苟活於世的人。」

「你很恨你自己吧。」聽到這句話，我有點想哭，點了點頭。
「我發現過去的經驗是會被複製的，即便逃離了原生家庭，我的內心還是有一個『父母型人格』嚴厲的審視我、批判我。」
「可是你要知道，雖然那個『內心父母』來自於原生家庭，可是它其實是你自己，它在你裡面，你有能力做出改變。」
「有喔，我這幾年來漸漸生出了自我意識，有時候被自己譴責也會覺得好委屈，我明明就很努力了啊，為什麼還要這樣對我。可是那個新的我還很小，抵抗不了強勢的聲音。」
「我覺得那是因為你僅僅只是『客觀認知到』自己不該被這樣對待，可是你並不認同，你還是相信『父母』的價值觀，所以一直到現在，『父母』的想法依舊是你真正的想法。」
「嗯⋯⋯。」我沉默。

「你有聽過內在小孩嗎？你對他的理解是什麼？」小雲問我。
「就是內心最真實的聲音吧，還沒有社會化、想怎樣就怎樣的自己。」
「其實我們應該要讓內在小孩做他想做的事情喔。」
「等等」，我打斷他，「這樣的話就沒有人要去上班了吧，我的內在小孩只想每天擺爛啊，我想大家也是，這一點都不實際。」
「但他是小孩，不是小動物，如果你跟他好好溝通，他是會理解的。」小雲說，「假如你拚命的壓抑他、駁斥他、甚至厭惡他，他有可能會變成恐怖的樣子喔。內在小孩需要宣洩，也需要被理解，你的怨恨會讓他越長越大，最後變成一個怪物，可是你要知道，他不是自願變成怪物的，是你對他的否認使他越來越畸形。其實他想要的，只是有人站在他這邊，有人理解他。」
我更想哭了，我發現我也只是想要有人站在我這邊，無條件的相信我、讓我感到安全。

「可是那有什麼用呢？」我說，「一切都已經根深蒂固；我清楚為什麼自己會變成這樣，但事情都已經發生，我改變不了，又要怎麼好起來？」
「過去的事確實不能改變，可是我們可以重新詮釋。用不同角度理解它，或許會有不一樣的結論喔。」
「我好像還是做不到呢，這件事像是一個完美閉環的數學公式，無論怎麼推演，結局都一樣。」
「沒關係，慢慢來，你就像一盤對弈的死棋，所有棋子都互相牽制、無法動彈，我們能做的是試圖找到突破口，慢慢鬆動令人深信不疑的結構。」
「好。」我說。「我會努力變好的。」
「不用努力喔，你已經夠努力了，就算停留在原地或做不到也沒關係，不要給自己任何壓力。」
「嗯，好。」我在內心又說了一次：好。",【解析失敗】請根據貼文內容，生成一個情緒分析。
11,"《我害怕快樂》  

我害怕愛情
愛情會讓我變得卑微
讓我變得努力
努力做很多不想要的事情
只為了能夠讓你覺得我是個很棒的人
然後把我那些很糟糕的事情
全部藏起來

我一定會很容易沈溺在性愛裡面
只要看到你脫光衣服，我就想要
想要這輩子都和你躺在床上
然後一起出國，一起變老
一起拍很多，有旅遊景點的照片

我害怕愛情
因為我害怕這些
都不會發生

我常常幻想各種不同的人生
幻想快樂與悲傷的自己
會變成什麼模樣
說害怕並不是真的不想要
而是如果真的有一天
我的夢想都成真了
我是不是不會再這麼容易憤世忌俗
然後和大多數成功的人一樣
開始寫一些教大家怎麼快樂的方法

／

我害怕難過
難過一定會讓我想起
好多討厭的事情
然後再告訴自己一定要堅強
一定要勇敢的站起來
偶爾跌倒沒有關係
大家都會原諒你的
但是我想要的是成為
那種永遠不會跌倒的人

我害怕快樂之後
再也寫不出太深刻的感受
我害怕快樂會是一種懲罰
會讓我變得太容易笑
太安於現狀

我也害怕有錢
有錢之後
我是不是不會寫詩
也不會做夢了
但是，我還是想要快樂
也想要錢

圖｜ 米蘭歐森   
文字｜米蘭歐森",害怕快樂的內容，表現出自責、焦慮、無助感和憂鬱，符合中度憂鬱
12,"第一百次在失眠的深夜裡憎恨自己。
想起你，想起最後一次去看你，塵歸塵土歸土，我卻還在這裡。
我為什麼還在這裡？

生活中有許多的迷惘，或許有解答，或許會更困惑，但我始終沒有辦法釐清自己作為一個生命所要傳達的意義——到底，為什麼，我會在這裡。

想到你會逐漸被世界代謝，就覺得悲催，人們為什麼可以輕易忘記一個人？為什麼可以像他沒來過一樣活著？
我想像自己和你一起被埋進土裡，就這樣躺著、躺著，任由時間經過，任由土壤分解我們早已殘破的軀骸與內心，好像這樣就可以逃避你已經離開了而我還在的事實。

為了找答案，我在異鄉漂流了許久，如今即將回去，卻只覺得更加困惑。
人們說，你的答案是你自己，但我覺得，我就是我的問題。",強烈的自責、絕望感、悲傷，符合高度憂鬱
13,"你滿意自己的生活嗎，喜歡現在的一切嗎？
我好像沒有這樣想過，因為從來不認為自己有資格這麼思考。

對我來說，活著一直都是一種不得不的妥協；因為還沒有死掉，所以才活著。

前幾天動態回顧跳出兩年前的文章，那時候我跟他說，假如他想走時我也想走，那麼我們就一起離開吧。
結果後來他獨自走了。
他不是拋下我，而是意識到我對世界妥協得越來越多，也越來越順應規則；那些活著感到的憤恨與不認可，終究只能以自己的生命作為一記悶拳，敲在甚至泛不起一絲波瀾的世界上。

而我甚至沒辦法恨這個傷透了他的世界，因為我知道，再怎麼樣也沒辦法改變；假如封閉自己的內心、麻木自己的知覺，就可以安然無恙的活下去，這似乎是最簡單的方法。
人生太難了，我寧可便宜行事。

可怕的是，如今的我連斥責自己的情緒也沒有了，我已經被這世界徹徹底底的同化、馴服，淪為將別人推下深淵的幫兇——如果不這樣做，墜落的會是我。
我不知道這樣能否稱作長大，但起碼活得越久，我越理解到我的不偉大，我的平凡到無以復加，以及所有夢想的不切實際。

然而最可怕的是，當我說「真可怕，我已經淪陷了」的時候，我並不覺得可怕。

「苟且偷生」，曾經寧死不屈的詞，現在甚至能坦然的說「對啊，我就是」了。",持續的無助感和情緒低落
14,"今天鬱期來了，毫不意外的失眠，並且非常想哭、非常想知道自己為什麼還活著。

可是卻在不自覺中打下了這段話；原來我比想像中勇敢。

一直以來，我都在懸崖邊掙扎，指甲縫卡滿泥土，植物的根也已經幾乎被扯光；不是沒想過就這樣放手墜落，只是「再撐一下下」的念頭，讓我撐了好多好多下。

不知不覺就走到這裡了，「難道不想看看日後的風景嗎」、「萬一會變好呢」，不敢懷著希望，卻又忍不住這樣想。
畢竟那些真的再也撐不下去的時刻，我都走過來了，是不是有可能，以後不會再這麼辛苦呢？

儘管黑暗一旦襲來，這些想法就會顯得單純到近乎愚蠢，可是此刻，我還是好想跟自己說，「你很勇敢，你做到了大多數人都沒做到的事，在日復一日的痛苦中，或許你沒有餘力去追逐更高遠的夢想，可是你還在這裡，謝謝你還沒有放棄。」

但我也很心疼自己，假如哪一天我真的墜落，請相信我已經嘗試過所有可能，已經比別人努力百倍的活過——我可以抬頭挺胸的說，不管結局如何，我都盡力了。

／
抱自己一下，因為你值得。
在別人身上得不到的愛，你可以給自己。",中度憂鬱
15,"這幾天是人生第一次滑雪，理想很美好，現實很悲劇。
不斷跌倒的旅途就像我的人生，沒有一刻順遂；不管再怎麼努力，都還是做不好。

大概是我太缺乏挫折忍受力，竟然絕望的哭了出來，「我連滑雪這種娛樂都做不好，還有什麼事情能成功？」
朋友說，「在你完全熟稔之前，滑雪都是一項運動，而非娛樂。」
我一邊收拾眼淚一邊努力爬起來，心裡還是恨透了自己的沒用。

後來我摔了好大一跤，而且感到非常疼痛。儘管如此，我還傷沒有停下來。
「都滑不好了，總不能因為受傷就找藉口休息吧。」我對自己說。

儘管疼痛一直伴隨，我還是持續忽略；「我不能那麼脆弱，我需要證明自己是有價值的。」雖然知道已經過度咎責了，還是因挫折而感覺自己配不上這世界。

直到回家洗澡時，看到傷口的那一刻，我才發覺自己「真的受傷了」，一邊看著觸目驚心、鮮血直流的傷口，一邊嚇得顫抖起來。
原來我痛不是因為我脆弱，這麼深的傷，會痛是正常的；我總是以為自己小題大作，可是或許那些並非小事。

隔天對滑雪逐漸上手後，也才明白自己前一天背著裝備走了多遠的路、滑了多長多難的雪道，於是原諒自己的崩潰和脆弱——換做是今天的我，也會挫折到哭泣吧。

如果說滑雪讓我學到了什麼，大概就是「別急著否定自己的情緒」，別認為自己太誇張、別想著「別人為什麼都不會這樣」。
你的感受是你自己的，和其他人無關，如果你覺得痛，那就是真的痛。

雖然很難不去和人比較，很難不質疑自己，但沒關係，我們慢慢練習。",持續的絕望感和自責，符合中度憂鬱
16,"《拜託告訴我一切都會好的》 

有時候生活
像火車朝我身上碾過
請不要扶我站起來
讓我好好躺一下

有時候憂鬱
像突然潑下的冷水
別人乾淨而我全身濕透
請允許我說，我恨透了世界

太過悲傷的時候
是哭不出來的
請不要追問我原因
不要評判擊倒我的事情

只要抱抱我
抱抱我
跟我說，一切都會好的
即便是騙我

／
發生糟糕透頂的事情時，我總覺得，或許錯的是我，我不應該活在這世上。

還能更糟嗎？不可能了。
騙我好嗎，我需要你告訴我，一切都會好的。",【解析失敗】</OUTPUT>
17,"1. 雨一直在下，這陣雨裡，好像只有我一個人
2. 我沒有帶傘，我從不撐傘
3. 不敢傳訊息給別人，我怕他們淋濕
4. 好久沒有出去走走，我說是因為下雨，他們好驚訝，彷彿沒有看過雨
5. 下雨之後，天好像就沒有亮過了
6. 像忍住噴嚏一樣忍住死亡，因為太用力而流淚
7. 希望我死掉之後，你會為我哭泣，因為知道你不至於太難過，才允許自己任性的祈求。我只是你世界的一小部分，謝謝你曾帶我看過另一部分，能夠當你人生跑龍套的臨演，我很快樂
8. 其實，有被深愛的人當作一回事，甚至瞧上一眼，就夠了
9. 我在想遺照可不可以不要笑，我這輩子一直在笑，好累喔。雖然想讓人記住美好的樣子，但現在我真的太累了，管不了了

／
昨天花了一歐元加購美乃滋，在國外這麼久，竟然沒有試過他們的美乃滋。
我珍惜的吃了一小口，然後放到包包裡；沿路搖晃四小時，我像是揣著寶貝一樣，努力讓它不灑出來。
終於到站後，拿東西的瞬間，它摔碎了。
把它丟進垃圾桶的時候，感覺自己的一生盡是白費。",持續的無助感和情緒低落，符合中度憂鬱
18,"當我說「抱抱我」
有時候和「救救我」
是同一個意思

如果你不能夠愛我
可不可以
至少
抱抱我

／
照片中的奶奶不一定寂寞，可是我看著他，就覺得好寂寞。

抱我，好嗎。",輕度焦慮和絕望
19,"前天夢中，在生母的追殺之下跳了下去。
醒來後，感覺部分的自己已經死了。

你知道嗎，人在夢裡遭受的痛苦與現實一樣；自從我知道這件事，就很驚訝自己還活著——每天晚上，我都會慘死一次。
不甘的、害怕的、絕望的、憤恨的，無論哪種心情，我都改變不了結局。

所以有時候才會想在現實中做一次，只要一次，就可以脫離夢裡的輪迴了。",極度的自責、絕望、憤恨
20,"有時候對於「你不能死，愛你的人需要你」感到厭煩無比，有時候卻又渴望有人抓著我說「不要走，我需要你。」

想被愛、想被陪伴都太奢侈了，我更需要的是活下去的理由。",強烈的絕望、輕度焦慮
21,"「對的人一定在來的路上。」
最好是！在哪？這麼多年了，他要不是路癡到沒藥醫，不然就是已經死了吧。
也搞不好，真的就是不存在。

右手的字跡跟我的內心一樣，歪七扭八。",輕度自責感
22,"即使是這一秒的自己，也會不知道上一秒在悲傷什麼，可是下一秒來的時候，還是會非常悲傷。

像第一次一樣，無論經歷幾次都像第一次一樣，無法預防、無法緩解。
每一次，都是最悲傷。",輕度焦慮
23,"拜託讓我遍體鱗傷的世界
給我最後的致命一擊吧
我什麼都準備好了
就等你再推我一把

求你了，傷害我吧，最後一次

只要可以不痛
我什麼都願意

如果有其他的方法
拜託告訴我該怎麼做
我真的好想知道

我也想好好的活下去啊
也想面對未來
和約好的朋友一起旅行啊
可是我怕我撐不到那個時候
不是我不努力
我已經盡力了

這麼多年怎麼過來的
我自己都不知道
是靠意志力苦撐著
在死亡的邊緣擺盪
還沒跌落所以碰巧過來的

沒有一日
從來沒有一日
是安安穩穩的從平地上走過的

我好累
我真的太累了
我再也走不動了

對不起",強烈的絕望和自責
24,"一年前的這個時候，我們一如既往的聊著天；訊息有一搭沒一搭的傳，像是再普通不過的日常，普通到好像還有明天。

其實聊天內容對別人來說可能並不尋常，都是關於病情、尋「歹匕」的念頭、執行的方式等等，但這就是我們的日常；活著的痛苦，佔滿了生活的大多數。

好幾次決定要一起離開，好幾次付諸行動，甚至很認真的、像做研究一樣的理性分享經驗；怎樣比較不痛、怎樣成功率高、怎樣不會醜⋯⋯，甚至連時間、地點都精心挑選，因為不想麻煩人，因為沒有要控訴什麼，因為只是想脫離痛苦而已。
只是想簡單卻奢侈的，睡上一覺而已。

在最後你並沒有透露什麼，我甚至還自顧自的聊著自己；你總是傾聽，也體貼的怕我愧疚，所以連要不要阻止你的選擇都不給我。
我知道，你是真的想走。

你也放心，我雖然難過，卻不愧疚，我們都知道遲早會有這一天，謝謝你讓我有機會（並且是好多次機會），好好跟你說我的愛，好好跟你說再見。

在最後那段時間，你嘗試離開好幾次都未遂，我的狀況卻趨於穩定；你一直安慰我不要抱歉，你說你是真心替我開心，而我也深深相信了；因為我知道，比起自己我更在乎你過得好不好，而你也是一樣。所以放心的過著平穩的生活，也替你查找各種不痛的方法。

我不在乎會不會有人覺得我在鼓勵你離開，因為我確實是的，要說我是殺人兇手也無所謂；只因我知道，什麼才是真正的為你好。

即便此刻想到你就撕心裂肺的疼痛，只有剮了全身骨肉才能稍稍減緩，但只要你能歸於平靜，哪怕是地獄我也會奮不顧身的跳下去。

我是說真的。

火化那天，我很感激葬儀社讓我們在焚化爐前止步，並且將你送進最遠最遠的爐（遠到我拚命墊著腳尖試圖看清楚），如果不是這樣，在你被推進去的剎那，我絕對會一起跳入火中。
沒有誇飾，我一定會。

而我之所以感謝，並不是因為這個機會讓我活了下來，而是不想在你的重要日子給你的家人添亂。（所以那天我其實好想嚎哭、好想趴在你的身上、好想緊緊抱著你失態至極，但都忍住了，因為我知道他們很辛苦，我唯一能做的，就是不要再增添麻煩。）
那是我此生最極力忍住的事情之一。

一年過去，地球照樣運轉，我卻成了一年前絕對想不到的樣子，也去了當初想不到的地方。
有成為理想中的自己嗎？好像還很遠，可是你一定會祝福我、以我為傲，即便我並不這麼認為。

就像在我眼中你永遠那麼好一樣，在你眼中，我也是極好的。

我的難過並不是因為你離開；只要你不痛了，我就無所謂。
只是在看見美景想分享的時候、在脆弱徬徨覺得你懂的時候、在快樂得想跳起來的時候，我真的真的，好希望你也在噢。

「多希望你也在這裡」，笑到一半想起你不在了而僵掉的嘴角，直到現在還是會抽泣。

可是我很好，你不要擔心，我們都有照顧好自己。
或許很快會再見面，也或許沒有來生、不會再見，但謝謝你，出現在我的生命裡，讓我知道人生不是只有痛苦而已。

／
我很愛說與你初次相遇的故事，那時候的我超討厭你，解開誤會後才發現彼此充滿了幼稚的偏見。

然而因為討厭過，愛才加倍加倍的濃。

從今以後你再也聽不到了，但我還是要說我愛你、我想你、抱抱你，像當初一樣。
歲歲年年，不會忘記。

⠀
「你終於還是離開我的生命
留下每天都在變老的我」
——盧廣仲〈幾分之幾〉",持續的無助感和情緒低落，符合中度憂鬱
25,"〈藥〉 

你的日子裡
很多藥物
像是把痛苦
磨成粉末
吞進肚裡
就不用再看見
就會慢慢好起來

醫生的處方籤
是預言
你就算不好轉
也要假裝康復
這樣才能給健保
給社會一個交代
縱使你始終不懂
你的病和社會有什麼關係

你反覆在每個時間點
把膠囊吞下去
餐前  飯後  還有睡前
你感覺自己的血液
都是化學藥劑
但也唯有它們
能夠讓你睡去

你在即將入夢之際
忽然清醒的想著
難怪，沒有人會想要你

2017.07.20

／
七年前的文字，怎麼像昨天一樣，像今天、明天一樣。",強烈的自責和絕望
26,"最近每天都癱軟無力，對什麼事情都提不起勁。
或許我早就千瘡百孔，再也不會好起來了吧。",輕度焦慮和絕望感
27,"前幾天一邊大哭，一邊打下了這段話：

我覺得，活著真的真的好寂寞。
越來越寂寞。

一開始努力的說話，努力向前走，試圖找到有人的地方，把聲音傳遞出去，直到都啞了，直到一身傷痕，才明白人一輩子都不會被理解的。
於是突然不知道自己在努力什麼；為了什麼而前進、為了什麼而呼吸，又有什麼好期盼的。
然後覺得很寂寞，徹徹底底的，知道再也沒有希望了的寂寞。

我們都是真空的，那麼無菌、乾淨，生來就是完好的包裝，可我好希望被觸碰，就算拆壞變髒也沒關係。

最無力的不是走到疲憊的時候，而是發現自己的前進都是枉然、終點並不存在的時候；原來作為地球上七十幾億人口之一的我，死了或者活著，都沒有人在等。

比浮萍還無根，比灰塵還輕。
我還有什麼呢，就連死亡，都比現在來得不痛。

昨天又夢見你出殯的那天，我站在你身旁，看你時彷彿隔了一片海洋。
醒來後反覆回味冰冷的觸感，我知道我永遠都停在那天了。
說好要一起死掉的，最後你沒有等我。我也沒有等你。一個人走了好久。

畢竟就算一起活著或是死掉，我們都還是寂寞的、兩個完好的真空包裝。
像生與死一樣，永遠碰觸不到對方。

／
好想感受到溫度啊，好想被在乎、想參與這個世界，可是一切徒勞到讓人絕望。
我又是為什麼還活著呢。",持續的無助感和情緒低落，符合中度憂鬱
